"""Fully 93% of cases of autism begin after children are vaccinated! Dr. Joseph Mercola/particularly indicts the hepatitis B vaccine, given on the child's first  day of life. At that time, children do not have a developed immune system &amp; their nervous system is very vulnerable.""",1,4,-1
"NEEDLE NAZIS and the impending MEDICAL HOLOCAUST of compulsory vaccination create such devastation that if I don't look/inhale something simple and beautiful a few times a day, it gets hard to breathe. https://t.co/LxsysuulKt",0,14,-1
"https://t.co/hJV3pgqaLR https://t.co/Z4UCLLW3wH  The SV40/vaccine connection/ foreign med journal.Polio vaccines/monkey virus SV40 contamination--cancer. Inheritable virus also sexually transmitted, &amp; by the blood.  ""The road to hell is sometimes paved with good intentions""",1,2,0
"""...the Salk polio vaccine was said to carry a monkey retrovirus (from  cultivating the vaccine on monkey organs) that produces inheritable  cancer. The monkey retrovirus SV40 keeps turning up in human cancer  sites."" https://t.co/uqeJ77HJ4W",1,2,0
"@InformdConsent After ""likely exposure""? --they don't know. Much more likely to a recently vaccinated person shedding and spreading disease. https://t.co/fRKTjCazmU",1,14,-1
"https://t.co/PIsfnsHOWDhttps://t.co/4CswA0ZE4GVax-Unvax study of mice implicates Hepatitis B vaccine, media silent",0,14,0
"https://t.co/Y7mq4RKkVa  47,500 paralysis cases after polio vaccine--""Polio vaccines are causing paralysis and death in India and the local  press is reporting it (not the US press, of course). This article is  from the largest circulation English language paper in South India.""",1,2,0
"Now Merck is in trouble. With a victory like this, lesser and similar vaccine reactions could now be litigated. https://t.co/ax88FdBizc",0,14,0
"He also recommended that the MMR vaccine be split up BACK into separate vaccines. If you have ever witnessed the behavior change first hand, and I hope you don't, your opinion of vaccines might be different. https://t.co/ydywSg0IDh",1,2,0
Don't forget damaging vaccine contents. Or do those not count? https://t.co/4GoUwqVuI2,1,1,-1
Who should be your next elected official? One who believes in vaccine safety. Not one who promote unsafe vaccines just because it's the right thing to do. https://t.co/9DFqVCYe8o,1,6,1
"Also, vaccines are not considered drugs and do not have the staged trials that regular drugs go through. Therefore, as long as the manufacturers think they're safe, we've captive to their system. https://t.co/T73Bra34Az",1,2,-1
"CDC Director: do you know what causes autism? If you do, please tell us. If you don't, then how do you know vaccines can't cause autism? Please don't use the excuse, ""because many more children don't regress after being vaccinated or vaccines have saved millions of lives"". https://t.co/x1jlArcZnh",1,4,-1
"Using Darwin's theory ""Survival of the Fittest"", if you can survive Big Pharma's vaccines, you'll have the opportunity to pursue what life has to offer. https://t.co/6KB5DzbkVb",1,2,-1
And inject his grand kids with 14 vaccines let him watch the results. https://t.co/OmZUJcCt37,0,14,0
"Says the pro-vaccine goto guy _ÑÒEverything people are worried about, like autism or developmental delays, doesn_Ñét happen"" said Dr. Paul Offit, an infectious diseases expert at Children_Ñés Hospital of Philadelphia. Get this guy some new glasses and a jail cell.",1,4,-1
"So the only way to prevent the ""new polio vaccine"" from spreading polio is to vaccinate the entire planet with the ""new vaccine"" at approximately the same time. #vaccines #polio https://t.co/xJkOCEyI4G",0,3,1
"@Melissa232220 @FLOTUS @realDonaldTrump Big pharma was about to stop making #vaccines because of law suits. Then they were given total immunity by the gov to continue making vaccines. Therefore, they know vaccines cause injury &amp; have done nothing abou",1,2,-1
@TweetingAutism @katiewr31413491 This reads like foreshadowing to be a witness against parents who don't vaccinate.,0,14,0
Typical scare tactic promoting a false narrative. An unvaccinated carrier with a lethal bacteria which 1 out of every 10 people have. Sounds like a sales pitch for another vaccine. Sounds more like defective vaccine. https://t.co/CJoJs1d8At,0,14,-1
More countries - please follow suit. Stand up to big pharma's poison. Demand safer vaccines - IF THERE IS SUCH A THING. https://t.co/fQ7a0J12sZ,1,6,-1
"Different / spreading out vaccine schedule could still cause Autism. If your child has a compromised immune system caused by vaccine A, then the next vaccine, vaccine B can cause damage. Then keep repeating pattern forward. Not a viable solution. https://t.co/OzIpR3BZvL",1,2,-1
"@realiwasframed Hi Mike, I can understand if you believe that vaccines cannot cause injury because you've never witnessed it firsthand. If it happens to you or someone you know, and I hope it does not, your opinion might change.",0,2,-1
"Big pharma was about to stop making #vaccines because of law suits. Then they were given total immunity by the gov to continue making vaccines. Therefore, they know vaccines cause injury &amp; have done nothing about it. Soon they will be forced upon us. Way to go corrupt lawmakers.",1,2,-1
Especially since our grand parents are not fully vaccinated like children today. https://t.co/6SN23Zbpch,0,14,0
"WHY the mainstream media will not report vaccine injuries. Advertising Dollars-ads are not to sell products-they are to control the media-if they happen to increase sales, that's a bonus. Losing sales to injuries is worth more, so NO negative press on main stream media. https://t.co/1I8jPFV97L",1,2,-1
"How about learning what happens when you vaccinate with too many vaccines. My guess, you're not allowed. https://t.co/QU7DaZzlad",0,14,0
Time to start revaccinating those who profess vaccines are safe (weight adjusted). https://t.co/XkG5hPWmth,0,14,0
Idea for those who want to change vaccine laws. Get revaccinated (weight adjusted) (CDC Schedule) before they sentence children to forced vaccination.,0,14,0
