"RT @forrestmaready: The same ideology that promotes mandatory vaccinations for ""herd immunity"" would insist your dairy farm must be sprayedÃ‰",1,11,-1
"RT @HealthRanger: Dementia now striking people in their 40s as mercury from vaccines causes slow, degenerative brain damage. https://t.co/iÃ‰",1,1,-1
"RT @ThisMomHCN: People will get mad at you for speaking the #truth about #vaccines. Rather than get mad at the people who lied to them.#EÃ‰",0,14,-1
"#AutismAwarenessMonth#Autism spike linked to these #vaccines made with aborted #human #fetal cells#InjuredArmy#MedicalFreedom#VaccineInducedBrainInjury (Aka #AUTISM)#Prolife?#NotOneMore#InformedConsent@POTUS @FLOTUS @VPhttps://t.co/c0bm8pgkiHhttps://t.co/ZsjlwxV8cL https://t.co/zncKbnY9Uj",1,4,-1
"Do we really want to inject our #children with ""#UnavoidablyUnsafe""#vaccines made in China with no quality control?#UnavoidablyUnsafe#InjuredArmy#LearnTheFacts#WeDid@POTUS @VP @FLOTUS@AgeofAutismhttps://t.co/A7NT4lakb1https://t.co/nmrW6AOjnehttps://t.co/zj6ePJaVY9 https://t.co/PpkfueSNDT",1,2,-1
RT @zeezeesmommy1: @ThisMomHCN @POTUS @FLOTUS @VP What is being done about the mandatory meningococcal vaccination that is required for allÃ‰,0,14,-1
"RT @LotusOak: Italians Took to the Streets to Protest New Mandatory Vaccination Lawhttps://t.co/r0BzT4tJqa#freedom #vaccines https://t.cÃ‰",0,14,0
"RT @ThisMomHCN: The most common neurotoxic #vaccine ingredients (aluminum and mercury)1) both #mitochondrial toxins2) both blood-brainÃ‰",1,1,-1
RT @RebeccaRage333: @ThisMomHCN Heck no I wouldnÃ•t vaccinate her! Why? So that sheÃ•d still B alive! Vaccines kill &amp; the Drug Cartel (Big PhÃ‰,1,2,-1
"RT @and_kell: During national infant immunization week too...#vaccinescauseautism #AutismAwarenessMonth https://t.co/7CyYwH0kkz",1,4,-1
"Vaccine choice is now ""child abuse""?There's never a shortage of hyperbole with ""vaccine advocates"" like Tim. https://t.co/Hj1ipgalyS",1,14,-1
"@t_robic Do you consider adults allowing their partners not to vaccinate ""spousal abuse""?https://t.co/BKUcJGInYH",0,14,0
"@t_robic Tim, who will you accuse of child abuse for the 3,200 hospitalizations post dengue vaccine?https://t.co/vjKd0lPmXW",0,2,-1
RT @and_kell: Please call us what we are #exvaxxers the best way to become an anti-vaxxer is to vaccinate and witness your child suffer inÃ‰,1,2,-1
"@RR2GO Hep A &amp; B, meningitis, flu, HIB, diphtheria, tetanus, pertussis, &amp; pneumococcal vaccines are all recommended for immunocomp'd.",0,14,1
@RR2GO *You believe to choosing not to get vaccinated* is worthy of death?,0,14,0
"@RR2GO Back to the original point, you believe not to chose not to get vaccinated is worthy of death?",0,14,0
@RR2GO So your opinion is people should die if they don't want to vaccinate and possibly go blind?,0,14,0
"@RR2GO Like when people ignore encephalitis deaths from vaccines?  Is that disgusting?https://t.co/dCLw6H8vWw",1,2,-1
RT @FullMeasureNews: Reckless experiment or key to a breakthrough? A dying scientist giving experimental herpes vaccines Ã‰ while ignoring hÃ‰,0,14,0
Multiple studies have found that #vaccines during #pregnancy are dangerous yet doctors and the #CDC keep recommending them. https://t.co/g63sGfKCQm,1,2,-1
#CDC #vaccine #policies alone have murdered far more children than #ChemicalWeapons attacks in #Syria https://t.co/syN3rp7LC3,1,2,-1
Probiotics cure peanut allergies in 80 percent of children. https://t.co/PcquTencWq #vaccines #antivax #health,2,14,-1
#Mercury in #vaccines may be up to 50 TIMES more toxic to the brain than mercury in fish. https://t.co/2HAbiFOF0H #antivax,1,1,-1
"That was then, this is now: Open season on vaccinating pregnant women. https://t.co/rTCT5YxZe6 #vaccines #antivax #health",1,2,-1
Independent journalism investigation reveals the CDC to be hopelessly corrupt when it comes to vaccine safety research. https://t.co/417ctBAUzt #CDC #health #vaccines #BigPharma,1,2,-1
"Bill Gates' Philanthropy: 30,000 Indian girls used as guinea pigs to test cancer vaccine. https://t.co/g7VjtL5KJT #BillGates #HPV #vaccines",1,14,-1
All 8 extreme childhood food allergies are also common ingredients in CDC-recommended vaccinesÃ‰ coincidence? https://t.co/Jbt3UuX25Z #vaccines #antivax #health #BigPharma,1,1,-1
More people die from the MMR vaccine actually. The MMR is killing people https://t.co/1l1k5fo1gk,1,2,-1
"When vaccines tested they were found to be contaminated. Here is the science for you.https://t.co/kWlHkBAAqs https://t.co/9NlMHjf8tz",1,2,-1
The links you posted were writing about a very shady pro vaccine study. You did not understand what you posted nor so you have the grace to admit your mistake. https://t.co/qnF7tl4RmU,0,14,-1
@salbob16 @Carlos_S01 No the link you posted was actually criticising a pro vaccine study - which you did not even understand and still do not understand.,0,14,0
@Warrior_x_Sarah @jdcm555 @KatHumble @Cloudhunter @ceesinsaw @EDalmayne @GMB So you are happy that all vaccinated children have been living guinea pigs for pharma?,1,14,-1
"the NATIONAL CHILDHOOD VACCINE INJURY ACT 1986Without this legislation, vaccinations would have died a natural legal death as the exponential damages claims overwhelmed the commercial gains of producing the vaccine product",1,14,-1
@tarastrong @ksenapathy @jillpromoli @Goldrushcomic @scimoms Tara to let you know that all vaccine safety trials are fraudulent an our kids have been the guinea pigs. There i no research that exists that shows aluminium safe to inject into human life and it has been linked to autism,1,4,-1
@mommyphd2 @tarastrong @ksenapathy @jillpromoli @Goldrushcomic @scimoms Alison all vaccines are fraudulently tested the research is smoke and mirrors they test a vaccine against another vaccine to mask reactions in trials so our kids are real life guinea pigs.,1,14,-1
The MMR has never contained mercury as it is a live virus vaccine. Mercury in trace amounts in all others but not labelled. Aluminium is my main concern. Studies prove that the unvaccinated child is healthier https://t.co/fbtcdSVST4,1,1,-1
@ksenapathy @tarastrong @mommyphd2 @jillpromoli @Goldrushcomic @scimoms Children are dying from vaccines more,1,2,-1
@_SpacePirate__ I prefer science actually - hard proven science. All vaccines tested were contaminated. Why inject babies with contaminated junk?,1,2,-1
@_SpacePirate__ Really a government agency that has hidden data from a study back in 2004 evidencing vaccines are linked to autism. Well I think you are a bit erm obtuse to trust that agency when we know it is corrupt. You think they will admit it? Very naive.,1,4,-1
"@_SpacePirate__ far from it. These vaccines are fraudulently tested, contaminated neuro-toxic shit storms that have no place being injected into our young.",1,1,-1
"@_SpacePirate__ Actually I believe courts, scientists, and r's who are all speaking up against vaccines - the evidence is vast - you clearly have not done a jot of research or you would not make that ridiculous statement!",0,14,-1
"Black baby boys are %340 more likely to be harmed and have autism from vaccines than white children. Its Tuskegee all over againhttps://t.co/oKF5qkYKRf https://t.co/cHgM7rMJH0",1,4,-1
RT @Carlos_S01: @Charbrevolution An italian court ruled vaccines cause autism https://t.co/uxbctD7yNN  cc @salbob16,1,4,-1
